"Fact_ID","Location_ID","Indicator_ID","Source_ID","Year_ID","Obs_Value","ISOCode","CountryAndAreaName","RegionName","DevlopmentStage","Indicator_Type","Data_Year","Source_Type","Source_Desc"
"1","1","21","2","7","5416.0","AFG","Afghanistan","SA","Least Developed","Child deaths (aged 5-14 years)","2016","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"2","1","21","2","8","5049.0","AFG","Afghanistan","SA","Least Developed","Child deaths (aged 5-14 years)","2017","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"3","1","21","2","9","4774.0","AFG","Afghanistan","SA","Least Developed","Child deaths (aged 5-14 years)","2018","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"4","1","21","2","10","4545.0","AFG","Afghanistan","SA","Least Developed","Child deaths (aged 5-14 years)","2019","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"5","2","21","2","7","80.0","ALB","Albania","ECA","More Developed","Child deaths (aged 5-14 years)","2016","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"6","2","21","2","8","75.0","ALB","Albania","ECA","More Developed","Child deaths (aged 5-14 years)","2017","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"7","2","21","2","9","70.0","ALB","Albania","ECA","More Developed","Child deaths (aged 5-14 years)","2018","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"8","2","21","2","10","66.0","ALB","Albania","ECA","More Developed","Child deaths (aged 5-14 years)","2019","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"9","3","21","2","7","2513.0","DZA","Algeria","MENA","Less Developed","Child deaths (aged 5-14 years)","2016","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"10","3","21","2","8","2584.0","DZA","Algeria","MENA","Less Developed","Child deaths (aged 5-14 years)","2017","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"11","3","21","2","9","2659.0","DZA","Algeria","MENA","Less Developed","Child deaths (aged 5-14 years)","2018","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"12","3","21","2","10","2725.0","DZA","Algeria","MENA","Less Developed","Child deaths (aged 5-14 years)","2019","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"13","4","21","2","7","0.0","AND","Andorra","ECA","More Developed","Child deaths (aged 5-14 years)","2016","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"14","4","21","2","8","0.0","AND","Andorra","ECA","More Developed","Child deaths (aged 5-14 years)","2017","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"15","4","21","2","9","0.0","AND","Andorra","ECA","More Developed","Child deaths (aged 5-14 years)","2018","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"16","4","21","2","10","0.0","AND","Andorra","ECA","More Developed","Child deaths (aged 5-14 years)","2019","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"17","5","21","2","7","15807.0","AGO","Angola","SSA","Least Developed","Child deaths (aged 5-14 years)","2016","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"18","5","21","2","8","15696.0","AGO","Angola","SSA","Least Developed","Child deaths (aged 5-14 years)","2017","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"19","5","21","2","9","15651.0","AGO","Angola","SSA","Least Developed","Child deaths (aged 5-14 years)","2018","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"20","5","21","2","10","15544.0","AGO","Angola","SSA","Least Developed","Child deaths (aged 5-14 years)","2019","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"21","7","21","2","7","2.0","ATG","Antigua and Barbuda","LAC","Less Developed","Child deaths (aged 5-14 years)","2016","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"22","7","21","2","8","2.0","ATG","Antigua and Barbuda","LAC","Less Developed","Child deaths (aged 5-14 years)","2017","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"23","7","21","2","9","2.0","ATG","Antigua and Barbuda","LAC","Less Developed","Child deaths (aged 5-14 years)","2018","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"24","7","21","2","10","2.0","ATG","Antigua and Barbuda","LAC","Less Developed","Child deaths (aged 5-14 years)","2019","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"25","8","21","2","7","1512.0","ARG","Argentina","LAC","Less Developed","Child deaths (aged 5-14 years)","2016","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"26","8","21","2","8","1467.0","ARG","Argentina","LAC","Less Developed","Child deaths (aged 5-14 years)","2017","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"27","8","21","2","9","1403.0","ARG","Argentina","LAC","Less Developed","Child deaths (aged 5-14 years)","2018","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"28","8","21","2","10","1337.0","ARG","Argentina","LAC","Less Developed","Child deaths (aged 5-14 years)","2019","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"29","9","21","2","7","76.0","ARM","Armenia","ECA","Less Developed","Child deaths (aged 5-14 years)","2016","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"30","9","21","2","8","78.0","ARM","Armenia","ECA","Less Developed","Child deaths (aged 5-14 years)","2017","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"31","9","21","2","9","79.0","ARM","Armenia","ECA","Less Developed","Child deaths (aged 5-14 years)","2018","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"32","9","21","2","10","79.0","ARM","Armenia","ECA","Less Developed","Child deaths (aged 5-14 years)","2019","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"33","10","21","2","7","260.0","AUS","Australia","EAP","More Developed","Child deaths (aged 5-14 years)","2016","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"34","10","21","2","8","258.0","AUS","Australia","EAP","More Developed","Child deaths (aged 5-14 years)","2017","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"35","10","21","2","9","256.0","AUS","Australia","EAP","More Developed","Child deaths (aged 5-14 years)","2018","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"36","10","21","2","10","253.0","AUS","Australia","EAP","More Developed","Child deaths (aged 5-14 years)","2019","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"37","11","21","2","7","68.0","AUT","Austria","ECA","More Developed","Child deaths (aged 5-14 years)","2016","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"38","11","21","2","8","67.0","AUT","Austria","ECA","More Developed","Child deaths (aged 5-14 years)","2017","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"39","11","21","2","9","66.0","AUT","Austria","ECA","More Developed","Child deaths (aged 5-14 years)","2018","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"40","11","21","2","10","65.0","AUT","Austria","ECA","More Developed","Child deaths (aged 5-14 years)","2019","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"41","12","21","2","7","440.0","AZE","Azerbaijan","ECA","Less Developed","Child deaths (aged 5-14 years)","2016","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"42","12","21","2","8","446.0","AZE","Azerbaijan","ECA","Less Developed","Child deaths (aged 5-14 years)","2017","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"43","12","21","2","9","454.0","AZE","Azerbaijan","ECA","Less Developed","Child deaths (aged 5-14 years)","2018","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"44","12","21","2","10","463.0","AZE","Azerbaijan","ECA","Less Developed","Child deaths (aged 5-14 years)","2019","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"45","13","21","2","7","18.0","BHS","Bahamas","LAC","Less Developed","Child deaths (aged 5-14 years)","2016","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"46","13","21","2","8","16.0","BHS","Bahamas","LAC","Less Developed","Child deaths (aged 5-14 years)","2017","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"47","13","21","2","9","16.0","BHS","Bahamas","LAC","Less Developed","Child deaths (aged 5-14 years)","2018","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"48","13","21","2","10","15.0","BHS","Bahamas","LAC","Less Developed","Child deaths (aged 5-14 years)","2019","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"49","14","21","2","7","36.0","BHR","Bahrain","MENA","Less Developed","Child deaths (aged 5-14 years)","2016","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"50","14","21","2","8","36.0","BHR","Bahrain","MENA","Less Developed","Child deaths (aged 5-14 years)","2017","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"51","14","21","2","9","35.0","BHR","Bahrain","MENA","Less Developed","Child deaths (aged 5-14 years)","2018","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"52","14","21","2","10","35.0","BHR","Bahrain","MENA","Less Developed","Child deaths (aged 5-14 years)","2019","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"53","15","21","2","7","18770.0","BGD","Bangladesh","SA","Least Developed","Child deaths (aged 5-14 years)","2016","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"54","15","21","2","8","19156.0","BGD","Bangladesh","SA","Least Developed","Child deaths (aged 5-14 years)","2017","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"55","15","21","2","9","19900.0","BGD","Bangladesh","SA","Least Developed","Child deaths (aged 5-14 years)","2018","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"56","15","21","2","10","20650.0","BGD","Bangladesh","SA","Least Developed","Child deaths (aged 5-14 years)","2019","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"57","16","21","2","7","7.0","BRB","Barbados","LAC","Less Developed","Child deaths (aged 5-14 years)","2016","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"58","16","21","2","8","7.0","BRB","Barbados","LAC","Less Developed","Child deaths (aged 5-14 years)","2017","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"59","16","21","2","9","7.0","BRB","Barbados","LAC","Less Developed","Child deaths (aged 5-14 years)","2018","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"60","16","21","2","10","6.0","BRB","Barbados","LAC","Less Developed","Child deaths (aged 5-14 years)","2019","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"61","17","21","2","7","145.0","BLR","Belarus","ECA","More Developed","Child deaths (aged 5-14 years)","2016","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"62","17","21","2","8","140.0","BLR","Belarus","ECA","More Developed","Child deaths (aged 5-14 years)","2017","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"63","17","21","2","9","134.0","BLR","Belarus","ECA","More Developed","Child deaths (aged 5-14 years)","2018","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"64","17","21","2","10","131.0","BLR","Belarus","ECA","More Developed","Child deaths (aged 5-14 years)","2019","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"65","18","21","2","7","112.0","BEL","Belgium","ECA","More Developed","Child deaths (aged 5-14 years)","2016","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"66","18","21","2","8","111.0","BEL","Belgium","ECA","More Developed","Child deaths (aged 5-14 years)","2017","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"67","18","21","2","9","109.0","BEL","Belgium","ECA","More Developed","Child deaths (aged 5-14 years)","2018","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"68","18","21","2","10","107.0","BEL","Belgium","ECA","More Developed","Child deaths (aged 5-14 years)","2019","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"69","19","21","2","7","23.0","BLZ","Belize","LAC","Less Developed","Child deaths (aged 5-14 years)","2016","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"70","19","21","2","8","22.0","BLZ","Belize","LAC","Less Developed","Child deaths (aged 5-14 years)","2017","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"71","19","21","2","9","21.0","BLZ","Belize","LAC","Less Developed","Child deaths (aged 5-14 years)","2018","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"72","19","21","2","10","21.0","BLZ","Belize","LAC","Less Developed","Child deaths (aged 5-14 years)","2019","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"73","20","21","2","7","6328.0","BEN","Benin","SSA","Least Developed","Child deaths (aged 5-14 years)","2016","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"74","20","21","2","8","6315.0","BEN","Benin","SSA","Least Developed","Child deaths (aged 5-14 years)","2017","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"75","20","21","2","9","6300.0","BEN","Benin","SSA","Least Developed","Child deaths (aged 5-14 years)","2018","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
"76","20","21","2","10","6259.0","BEN","Benin","SSA","Least Developed","Child deaths (aged 5-14 years)","2019","UN_IGME","United Nations Inter-agency Group for Child Mortality Estimation"
