"Education_Fact_ID","Location_ID","Indicator_ID","Source_ID","Year_ID","Total","Female","Male","Urban","Rural","Poorest","Second","Middle","Fourth","Richest","ISOCode","CountryAndAreaName","RegionName","DevlopmentStage","Indicator_Type","Data_Year","Source_Type","Source_Desc"
"1","1","1","1","9","65.4205474853516","56.2547492980957","74.0848007202148","","","","","","","","AFG","Afghanistan","SA","Least Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"2","2","1","1","9","99.3300018310547","99.629997253418","99.0500030517578","","","","","","","","ALB","Albania","ECA","More Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"3","3","1","1","9","97.4265213012695","97.2521591186523","97.5940628051758","","","","","","","","DZA","Algeria","MENA","Less Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"4","4","1","0","0","","","","","","","","","","","AND","Andorra","ECA","More Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"5","5","1","0","0","","","","","","","","","","","AGO","Angola","SSA","Least Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"6","6","1","0","0","","","","","","","","","","","AIA","Anguilla","LAC","Not Classified","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"7","7","1","0","0","","","","","","","","","","","ATG","Antigua and Barbuda","LAC","Less Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"8","8","1","1","9","99.5055236816406","99.7576522827148","99.241828918457","","","","","","","","ARG","Argentina","LAC","Less Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"9","9","1","0","0","","","","","","","","","","","ARM","Armenia","ECA","Less Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"10","10","1","0","0","","","","","","","","","","","AUS","Australia","EAP","More Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"11","11","1","0","0","","","","","","","","","","","AUT","Austria","ECA","More Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"12","12","1","0","0","","","","","","","","","","","AZE","Azerbaijan","ECA","Less Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"13","13","1","0","0","","","","","","","","","","","BHS","Bahamas","LAC","Less Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"14","14","1","1","9","99.6872024536133","99.3013381958008","99.9761428833008","","","","","","","","BHR","Bahrain","MENA","Less Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"15","15","1","1","10","94.8624267578125","96.087760925293","93.7046966552734","","","","","","","","BGD","Bangladesh","SA","Least Developed","Literacy Rate 15 Plus","2019","UIS","UNESCO Institute for Statistics"
"16","16","1","0","0","","","","","","","","","","","BRB","Barbados","LAC","Less Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"17","17","1","1","9","99.8499984741211","99.870002746582","99.8300018310547","","","","","","","","BLR","Belarus","ECA","More Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"18","18","1","0","0","","","","","","","","","","","BEL","Belgium","ECA","More Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"19","19","1","0","0","","","","","","","","","","","BLZ","Belize","LAC","Less Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"20","20","1","1","9","60.9480781555176","51.9436187744141","69.7611770629883","","","","","","","","BEN","Benin","SSA","Least Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"21","21","1","0","0","","","","","","","","","","","BTN","Bhutan","SA","Least Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"22","22","1","0","0","","","","","","","","","","","BOL","Bolivia (Plurinational State of)","LAC","Less Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"23","23","1","0","0","","","","","","","","","","","BIH","Bosnia and Herzegovina","ECA","More Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"24","24","1","0","0","","","","","","","","","","","BWA","Botswana","SSA","Less Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"25","25","1","1","9","99.2041702270508","99.4315338134766","98.9835815429688","","","","","","","","BRA","Brazil","LAC","Less Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"26","26","1","0","0","","","","","","","","","","","VGB","British Virgin Islands","LAC","Not Classified","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"27","27","1","1","9","99.7089385986328","99.7896575927734","99.6351623535156","","","","","","","","BRN","Brunei Darussalam","EAP","Less Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"28","28","1","0","0","","","","","","","","","","","BGR","Bulgaria","ECA","More Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"29","29","1","1","9","58.2900009155273","54.6699981689453","61.7900009155273","","","","","","","","BFA","Burkina Faso","SSA","Least Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"30","30","1","0","0","","","","","","","","","","","BDI","Burundi","SSA","Least Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"31","31","1","0","0","","","","","","","","","","","CPV","Cabo Verde","SSA","Less Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"32","32","1","0","0","","","","","","","","","","","KHM","Cambodia","EAP","Least Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"33","33","1","1","9","85.0800018310547","82.4100036621094","87.7200012207031","","","","","","","","CMR","Cameroon","SSA","Less Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"34","34","1","0","0","","","","","","","","","","","CAN","Canada","NA","More Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"35","35","1","1","9","38.2686500549316","28.7066593170166","47.804931640625","","","","","","","","CAF","Central African Republic","SSA","Least Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"36","36","1","0","0","","","","","","","","","","","TCD","Chad","SSA","Least Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"37","37","1","0","0","","","","","","","","","","","CHL","Chile","LAC","Less Developed","Literacy Rate 15 Plus","Not Available","Not Available","Not Available"
"38","38","1","1","9","99.7835998535156","99.7833786010742","99.7837905883789","","","","","","","","CHN","China","EAP","Less Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
"39","39","1","1","9","98.8516464233398","99.0696029663086","98.6338272094727","","","","","","","","COL","Colombia","LAC","Less Developed","Literacy Rate 15 Plus","2018","UIS","UNESCO Institute for Statistics"
