"Fact_ID","Location_ID","Indicator_ID","Source_ID","Year_ID","Obs_Value"
1,1,21,2,7,5416
2,1,21,2,8,5049
3,1,21,2,9,4774
4,1,21,2,10,4545
5,2,21,2,7,80
6,2,21,2,8,75
7,2,21,2,9,70
8,2,21,2,10,66
9,3,21,2,7,2513
10,3,21,2,8,2584
11,3,21,2,9,2659
12,3,21,2,10,2725
13,4,21,2,7,0
14,4,21,2,8,0
15,4,21,2,9,0
16,4,21,2,10,0
17,5,21,2,7,15807
18,5,21,2,8,15696
19,5,21,2,9,15651
20,5,21,2,10,15544
21,7,21,2,7,2
22,7,21,2,8,2
23,7,21,2,9,2
24,7,21,2,10,2
25,8,21,2,7,1512
26,8,21,2,8,1467
27,8,21,2,9,1403
28,8,21,2,10,1337
29,9,21,2,7,76
30,9,21,2,8,78
31,9,21,2,9,79
32,9,21,2,10,79
33,10,21,2,7,260
34,10,21,2,8,258
35,10,21,2,9,256
36,10,21,2,10,253
37,11,21,2,7,68
38,11,21,2,8,67
39,11,21,2,9,66
40,11,21,2,10,65
41,12,21,2,7,440
42,12,21,2,8,446
43,12,21,2,9,454
44,12,21,2,10,463
45,13,21,2,7,18
46,13,21,2,8,16
47,13,21,2,9,16
48,13,21,2,10,15
49,14,21,2,7,36
50,14,21,2,8,36
51,14,21,2,9,35
52,14,21,2,10,35
53,15,21,2,7,18770
54,15,21,2,8,19156
55,15,21,2,9,19900
56,15,21,2,10,20650
57,16,21,2,7,7
58,16,21,2,8,7
59,16,21,2,9,7
60,16,21,2,10,6
61,17,21,2,7,145
62,17,21,2,8,140
63,17,21,2,9,134
64,17,21,2,10,131
65,18,21,2,7,112
66,18,21,2,8,111
67,18,21,2,9,109
68,18,21,2,10,107
69,19,21,2,7,23
70,19,21,2,8,22
71,19,21,2,9,21
72,19,21,2,10,21
73,20,21,2,7,6328
74,20,21,2,8,6315
75,20,21,2,9,6300
76,20,21,2,10,6259
77,21,21,2,7,107
78,21,21,2,8,102
79,21,21,2,9,98
80,21,21,2,10,94
81,22,21,2,7,1051
82,22,21,2,8,1021
83,22,21,2,9,995
84,22,21,2,10,966
85,23,21,2,7,43
86,23,21,2,8,43
87,23,21,2,9,43
88,23,21,2,10,42
89,24,21,2,7,311
90,24,21,2,8,306
91,24,21,2,9,303
92,24,21,2,10,298
93,25,21,2,7,7909
94,25,21,2,8,7598
95,25,21,2,9,7315
96,25,21,2,10,7046
97,27,21,2,7,17
98,27,21,2,8,17
99,27,21,2,9,16
100,27,21,2,10,16
101,28,21,2,7,125
102,28,21,2,8,124
103,28,21,2,9,122
104,28,21,2,10,121
105,29,21,2,7,10333
106,29,21,2,8,10284
107,29,21,2,9,10229
108,29,21,2,10,10131
109,30,21,2,7,6616
110,30,21,2,8,6791
111,30,21,2,9,6914
112,30,21,2,10,7016
113,31,21,2,7,22
114,31,21,2,8,22
115,31,21,2,9,21
116,31,21,2,10,20
117,32,21,2,7,1766
118,32,21,2,8,1714
119,32,21,2,9,1673
120,32,21,2,10,1630
121,33,21,2,7,15919
122,33,21,2,8,16029
123,33,21,2,9,16086
124,33,21,2,10,16065
125,34,21,2,7,395
126,34,21,2,8,381
127,34,21,2,9,367
128,34,21,2,10,355
129,35,21,2,7,2053
130,35,21,2,8,2017
131,35,21,2,9,1980
132,35,21,2,10,1945
133,36,21,2,7,12141
134,36,21,2,8,12146
135,36,21,2,9,12141
136,36,21,2,10,12116
137,37,21,2,7,368
138,37,21,2,8,364
139,37,21,2,9,359
140,37,21,2,10,353
141,38,21,2,7,34721
142,38,21,2,8,33844
143,38,21,2,9,33033
144,38,21,2,10,32278
145,39,21,2,7,2008
146,39,21,2,8,1970
147,39,21,2,9,1938
148,39,21,2,10,1907
149,40,21,2,7,188
150,40,21,2,8,187
151,40,21,2,9,185
152,40,21,2,10,184
153,41,21,2,7,1160
154,41,21,2,8,1154
155,41,21,2,9,1147
156,41,21,2,10,1136
157,42,21,2,7,0
158,42,21,2,8,0
159,42,21,2,9,0
160,42,21,2,10,0
161,43,21,2,7,129
162,43,21,2,8,126
163,43,21,2,9,123
164,43,21,2,10,121
165,45,21,2,7,46
166,45,21,2,8,45
167,45,21,2,9,45
168,45,21,2,10,44
169,46,21,2,7,246
170,46,21,2,8,245
171,46,21,2,9,245
172,46,21,2,10,246
173,47,21,2,7,13
174,47,21,2,8,13
175,47,21,2,9,13
176,47,21,2,10,12
177,48,21,2,7,98
178,48,21,2,8,98
179,48,21,2,9,97
180,48,21,2,10,96
181,44,21,2,7,16574
182,44,21,2,8,16732
183,44,21,2,9,16802
184,44,21,2,10,16849
185,49,21,2,7,1545
186,49,21,2,8,1462
187,49,21,2,9,1397
188,49,21,2,10,1330
189,50,21,2,7,53497
190,50,21,2,8,54223
191,50,21,2,9,54721
192,50,21,2,10,55184
193,51,21,2,7,44
194,51,21,2,8,42
195,51,21,2,9,39
