"Location_ID","ISOCode","CountryAndAreaName","RegionName","DevlopmentStage"
1,"AFG","Afghanistan","SA","Least Developed"
2,"ALB","Albania","ECA","More Developed"
3,"DZA","Algeria","MENA","Less Developed"
4,"AND","Andorra","ECA","More Developed"
5,"AGO","Angola","SSA","Least Developed"
6,"AIA","Anguilla","LAC","Not Classified"
7,"ATG","Antigua and Barbuda","LAC","Less Developed"
8,"ARG","Argentina","LAC","Less Developed"
9,"ARM","Armenia","ECA","Less Developed"
10,"AUS","Australia","EAP","More Developed"
11,"AUT","Austria","ECA","More Developed"
12,"AZE","Azerbaijan","ECA","Less Developed"
13,"BHS","Bahamas","LAC","Less Developed"
14,"BHR","Bahrain","MENA","Less Developed"
15,"BGD","Bangladesh","SA","Least Developed"
16,"BRB","Barbados","LAC","Less Developed"
17,"BLR","Belarus","ECA","More Developed"
18,"BEL","Belgium","ECA","More Developed"
19,"BLZ","Belize","LAC","Less Developed"
20,"BEN","Benin","SSA","Least Developed"
21,"BTN","Bhutan","SA","Least Developed"
22,"BOL","Bolivia (Plurinational State of)","LAC","Less Developed"
23,"BIH","Bosnia and Herzegovina","ECA","More Developed"
24,"BWA","Botswana","SSA","Less Developed"
25,"BRA","Brazil","LAC","Less Developed"
26,"VGB","British Virgin Islands","LAC","Not Classified"
27,"BRN","Brunei Darussalam","EAP","Less Developed"
28,"BGR","Bulgaria","ECA","More Developed"
29,"BFA","Burkina Faso","SSA","Least Developed"
30,"BDI","Burundi","SSA","Least Developed"
31,"CPV","Cabo Verde","SSA","Less Developed"
32,"KHM","Cambodia","EAP","Least Developed"
33,"CMR","Cameroon","SSA","Less Developed"
34,"CAN","Canada","NA","More Developed"
35,"CAF","Central African Republic","SSA","Least Developed"
36,"TCD","Chad","SSA","Least Developed"
37,"CHL","Chile","LAC","Less Developed"
38,"CHN","China","EAP","Less Developed"
39,"COL","Colombia","LAC","Less Developed"
40,"COM","Comoros","SSA","Least Developed"
41,"COG","Congo","SSA","Less Developed"
42,"COK","Cook Islands","EAP","Less Developed"
43,"CRI","Costa Rica","LAC","Less Developed"
44,"CIV","Côte d'Ivoire","SSA","Less Developed"
45,"HRV","Croatia","ECA","More Developed"
46,"CUB","Cuba","LAC","Less Developed"
47,"CYP","Cyprus","ECA","More Developed"
48,"CZE","Czechia","ECA","More Developed"
49,"PRK","Democratic People's Republic of Korea","EAP","Less Developed"
50,"COD","Democratic Republic of the Congo","SSA","Least Developed"
51,"DNK","Denmark","ECA","More Developed"
52,"DJI","Djibouti","SSA","Least Developed"
53,"DMA","Dominica","LAC","Less Developed"
54,"DOM","Dominican Republic","LAC","Less Developed"
55,"ECU","Ecuador","LAC","Less Developed"
56,"EGY","Egypt","MENA","Less Developed"
57,"SLV","El Salvador","LAC","Less Developed"
58,"GNQ","Equatorial Guinea","SSA","Less Developed"
59,"ERI","Eritrea","SSA","Least Developed"
60,"EST","Estonia","ECA","More Developed"
61,"SWZ","Eswatini","SSA","Less Developed"
62,"ETH","Ethiopia","SSA","Least Developed"
63,"FJI","Fiji","EAP","Less Developed"
64,"FIN","Finland","ECA","More Developed"
65,"FRA","France","ECA","More Developed"
66,"GAB","Gabon","SSA","Less Developed"
67,"GMB","Gambia","SSA","Least Developed"
68,"GEO","Georgia","ECA","Less Developed"
69,"DEU","Germany","ECA","More Developed"
70,"GHA","Ghana","SSA","Less Developed"
71,"GRC","Greece","ECA","More Developed"
72,"GRD","Grenada","LAC","Less Developed"
73,"GTM","Guatemala","LAC","Less Developed"
74,"GIN","Guinea","SSA","Least Developed"
75,"GNB","Guinea-Bissau","SSA","Least Developed"
76,"GUY","Guyana","LAC","Less Developed"
77,"HTI","Haiti","LAC","Least Developed"
78,"VAT","Holy See","ECA","Not Classified"
79,"HND","Honduras","LAC","Less Developed"
80,"HUN","Hungary","ECA","More Developed"
81,"ISL","Iceland","ECA","More Developed"
82,"IND","India","SA","Less Developed"
83,"IDN","Indonesia","EAP","Less Developed"
84,"IRN","Iran (Islamic Republic of)","MENA","Less Developed"
85,"IRQ","Iraq","MENA","Less Developed"
86,"IRL","Ireland","ECA","More Developed"
87,"ISR","Israel","MENA","More Developed"
88,"ITA","Italy","ECA","More Developed"
89,"JAM","Jamaica","LAC","Less Developed"
90,"JPN","Japan","EAP","More Developed"
91,"JOR","Jordan","MENA","Less Developed"
92,"KAZ","Kazakhstan","ECA","Less Developed"
93,"KEN","Kenya","SSA","Less Developed"
94,"KIR","Kiribati","EAP","Least Developed"
95,"KWT","Kuwait","MENA","Less Developed"
96,"KGZ","Kyrgyzstan","ECA","Less Developed"
97,"LAO","Lao People's Democratic Republic","EAP","Least Developed"
98,"LVA","Latvia","ECA","More Developed"
99,"LBN","Lebanon","MENA","Less Developed"
100,"LSO","Lesotho","SSA","Least Developed"
101,"LBR","Liberia","SSA","Least Developed"
102,"LBY","Libya","MENA","Less Developed"
